DataRotation: 41 0 8
RootCenter: 400.9 120.3 -306
DataDimension: 689 393 200
Id X Y Z T Precursors Lineage CellFile Layer DivType
1212 300 142.026 123 1 {} 1212 -1 1 0
2233 390 133.952 123 1 {} 2233 -1 1 0
5566 350 156.381 126 1 {} 5566 0 1 0
9910 376.348 164.455 137 1 {} 9910 1 1 0
1 278.561 143.821 123 2 {1212} 1212 -1 1 -
1 277.663 142.026 123 91 {1212} 1212 -1 1 0
2 347.64 133.952 123 2 {2233} 2233 -1 1 -
2 348.201 126.046 123 62 {2233} 2233 -1 1 0
3 432.307 133.448 123 2 {2233} 2233 -1 1 -
3 439.036 120.663 126 55 {2233} 2233 -1 1 0
4 257.926 162.66 126 1 {} 4 0 1 -
4 251.31 161.707 129 5 {} 4 0 1 0
5 332.725 154.306 126 2 {5566} 5566 0 1 -
5 337.435 152.96 130 47 {5566} 5566 0 1 0
6 420.869 152.287 129 2 {5566} 5566 0 1 -
6 407.412 144.213 131 36 {5566} 5566 0 1 0
7 340.463 114.215 122 1 {} 7 -2 1 -
7 332.052 111.243 123 8 {} 7 -2 1 0
8 236.395 175.22 137 1 {} 8 1 1 -
8 233.816 173.146 138 8 {} 8 1 1 0
9 373.769 164.399 136 2 {9910} 9910 1 1 -
9 375.788 159.689 137 89 {9910} 9910 1 1 1
10 480.08 160.362 139 2 {9910} 9910 1 1 -
10 490.172 144.886 143 60 {9910} 9910 1 1 0
11 381.731 176.118 144 1 {} 11 2 1 -
11 369.059 168.436 144 14 {} 11 2 1 0
12 291.12 140.232 123 92 "{1212,1}" 1212 -1 1 -
12 300.428 136.139 122 148 "{1212,1}" 1212 -1 1 1
13 265.104 142.026 123 92 "{1212,1}" 1212 -1 1 -
13 257.366 139.167 126 150 "{1212,1}" 1212 -1 1 1
14 458.548 119.99 126 56 "{2233,3}" 2233 -1 1 -
14 488.154 114.608 131 118 "{2233,3}" 2233 -1 1 0
15 420.869 123.355 126 56 "{2233,3}" 2233 -1 1 -
15 407.412 124.7 128 124 "{2233,3}" 2233 -1 1 1
17 420.869 141.522 131 37 "{5566,6}" 5566 0 1 -
17 446.773 142.475 132 101 "{5566,6}" 5566 0 1 1
18 393.955 146.905 131 37 "{5566,6}" 5566 0 1 -
18 394.74 147.409 131 104 "{5566,6}" 5566 0 1 1
19 264.767 161.034 129 6 {4} 4 0 1 -
19 289.663 161.034 132 107 {4} 4 0 1 1
20 240.544 165.744 129 6 {4} 4 0 1 -
20 216.322 167.763 132 102 {4} 4 0 1 0
21 346.855 107.879 123 9 {7} 7 -2 1 -
21 380.666 99.3844 130 122 {7} 7 -2 1 1
22 317.922 115.953 123 9 {7} 7 -2 1 -
22 301.942 110.823 127 115 {7} 7 -2 1 1
23 250.637 175.837 139 9 {8} 8 1 1 -
23 286.971 169.781 140 139 {8} 8 1 1 1
24 217.667 177.856 139 9 {8} 8 1 1 -
24 153.41 187.332 146 125 {8} 8 1 1 0
25 378.479 149.596 141 90 "{9910,9}" 9910 1 3 -
25 381.17 151.278 146 164 "{9910,9}" 9910 1 3 0
26 371.078 168.436 137 90 "{9910,9}" 9910 1 2 -
26 378.479 173.146 142 154 "{9910,9}" 9910 1 2 0
27 355.602 169.109 144 15 {11} 11 2 1 -
27 312.54 177.519 147 113 {11} 11 2 1 0
28 384.535 167.09 144 15 {11} 11 2 1 -
28 424.233 157.334 150 141 {11} 11 2 1 1
33 405.393 122.009 131 125 "{2233,3,15}" 2233 -1 3 -
33 408.757 121 130 206 "{2233,3,15}" 2233 -1 3 0
34 380.666 100.057 124 123 "{7,21}" 7 -2 2 -
34 376.46 100.814 120 188 "{7,21}" 7 -2 2 0
35 375.956 103.422 131 123 "{7,21}" 7 -2 3 -
35 389.917 99.4685 131 201 "{7,21}" 7 -2 3 0
36 287.644 179.201 140 140 "{8,23}" 8 1 2 -
36 292.354 188.285 136 206 "{8,23}" 8 1 2 0
37 279.57 161.707 144 140 "{8,23}" 8 1 3 -
37 288.99 169.445 146 232 "{8,23}" 8 1 3 0
38 165.521 186.435 146 126 "{8,24}" 8 1 1 -
38 210.939 185.594 144 272 "{8,24}" 8 1 1 1
39 143.542 190.472 146 126 "{8,24}" 8 1 1 -
39 69.6401 205.106 154 300 "{8,24}" 8 1 1 -
40 345.509 150.942 130 48 "{5566,5}" 5566 0 1 -
40 360.312 151.615 129 128 "{5566,5}" 5566 0 1 1
41 327.342 153.633 130 48 "{5566,5}" 5566 0 1 -
41 329.361 154.979 131 120 "{5566,5}" 5566 0 1 1
42 388.908 141.578 134 105 "{5566,6,18}" 5566 0 3 -
42 389.985 138.797 136 184 "{5566,6,18}" 5566 0 3 1
43 396.534 156.829 127 105 "{5566,6,18}" 5566 0 2 -
43 393.214 154.945 126 163 "{5566,6,18}" 5566 0 2 1
44 360.985 161.707 129 129 "{5566,5,40}" 5566 0 2 -
44 362.532 161.943 122 181 "{5566,5,40}" 5566 0 2 2
45 356.948 143.54 136 129 "{5566,5,40}" 5566 0 3 -
45 357.15 146.871 136 202 "{5566,5,40}" 5566 0 3 1
46 325.324 145.895 134 121 "{5566,5,41}" 5566 0 3 -
46 330.034 156.661 131 238 "{5566,5,41}" 5566 0 3 1
47 325.997 157.334 128 121 "{5566,5,41}" 5566 0 2 -
47 332.725 165.408 125 181 "{5566,5,41}" 5566 0 2 2
48 295.045 133.448 129 149 "{1212,1,12}" 1212 -1 3 -
48 295.718 140.849 130 239 "{1212,1,12}" 1212 -1 3 0
49 299.755 137.485 117 149 "{1212,1,12}" 1212 -1 2 -
49 306.484 142.867 116 198 "{1212,1,12}" 1212 -1 2 1
50 309.848 143.877 112 199 "{1212,1,12,49}" 1212 -1 4 -
50 302.447 151.278 105 258 "{1212,1,12,49}" 1212 -1 4 0
