DataRotation: 92 0 16
RootCenter: 315.6 117.3 -130.8
DataDimension: 682 406 130
Id X Y Z T Precursors Lineage CellFile Layer DivType
1 474.536 57.5073 26 1 {} 1 -3 0 -
1 426.583 89.4761 32 106 {} 1 -3 0 0
2 384.624 114.785 37 1 {} 2 -2 0 -
2 310.696 146.753 40 37 {} 2 -2 0 0
3 450.56 104.128 41 1 {} 3 -1 0 -
3 458.552 106.126 41 28 {} 3 -1 0 0
4 315.358 158.076 45 1 {} 4 -1 0 -
4 301.372 166.734 45 14 {} 4 -1 0 0
5 628.386 16.8804 47 1 {} 5 0 0 -
5 652.362 14.8823 51 65 {} 5 0 0 0
6 362.646 141.425 60 1 {} 6 0 0 -
6 320.021 159.408 61 19 {} 6 0 0 0
7 547.798 40.1909 62 1 {} 7 1 0 -
7 478.532 80.1519 69 95 {} 7 1 0 0
8 306.034 142.757 71 1 {} 8 1 0 -
8 268.071 164.07 72 48 {} 8 1 0 0
9 328.679 156.078 61 20 {6} 6 0 0 -
9 362.646 145.421 67 74 {6} 6 0 0 0
10 310.696 162.738 61 20 {6} 6 0 0 -
10 283.39 170.73 65 72 {6} 6 0 0 0
11 298.708 165.402 65 73 "{6,10}" 6 0 0 -
11 304.702 166.734 70 128 "{6,10}" 6 0 0 1
12 271.401 180.054 65 73 "{6,10}" 6 0 0 -
12 240.765 187.38 69 121 "{6,10}" 6 0 0 0
13 255.417 182.052 69 122 "{6,10,12}" 6 0 0 -
13 260.079 176.058 74 179 "{6,10,12}" 6 0 0 1
14 232.106 193.375 69 122 "{6,10,12}" 6 0 0 -
14 231.44 197.371 74 185 "{6,10,12}" 6 0 0 1
15 242.763 199.369 74 186 "{6,10,12,14}" 6 0 1 -
15 243.429 216.685 77 279 "{6,10,12,14}" 6 0 1 1
16 217.454 196.039 74 186 "{6,10,12,14}" 6 0 2 -
16 212.792 208.693 77 295 "{6,10,12,14}" 6 0 2 0
17 216.788 198.037 77 296 "{6,10,12,14,16}" 6 0 2 -
17 215.456 195.373 76 350 "{6,10,12,14,16}" 6 0 2 -
18 208.796 216.019 77 296 "{6,10,12,14,16}" 6 0 2 -
18 208.796 220.681 79 350 "{6,10,12,14,16}" 6 0 2 -
19 238.767 206.029 76 280 "{6,10,12,14,15}" 6 0 4 -
19 240.099 208.027 76 350 "{6,10,12,14,15}" 6 0 4 -
20 244.761 222.679 80 280 "{6,10,12,14,15}" 6 0 3 -
20 246.093 230.005 82 350 "{6,10,12,14,15}" 6 0 3 -
21 253.419 166.734 74 180 "{6,10,12,13}" 6 0 2 -
21 234.771 175.392 77 238 "{6,10,12,13}" 6 0 2 0
22 264.741 184.05 74 180 "{6,10,12,13}" 6 0 1 -
22 274.731 196.705 81 238 "{6,10,12,13}" 6 0 1 1
23 272.067 190.71 81 239 "{6,10,12,13,22}" 6 0 4 -
23 266.739 204.031 83 350 "{6,10,12,13,22}" 6 0 4 -
24 276.063 208.693 81 239 "{6,10,12,13,22}" 6 0 3 -
24 274.731 220.681 86 319 "{6,10,12,13,22}" 6 0 3 2
