DataRotation: 41 -2 30
RootCenter: 323.3 209.5 -173.2
DataDimension: 666 404 130
Id X Y Z T Precursors Lineage CellFile Layer DivType
1 242.921 251.321 57 1 {} 1 -2 0 -
1 256.579 242.215 58 45 {} 1 -2 0 0
234 264.384 238.313 58 46 {1} 1 -2 0 -
234 276.091 227.907 59 105 {1} 1 -2 0 1
235 248.774 246.118 58 46 {1} 1 -2 0 -
235 200.646 265.629 59 115 {1} 1 -2 0 1
236 202.597 265.629 56 116 "{1,235}" 1 -2 1 -
236 201.296 257.174 53 213 "{1,235}" 1 -2 1 0
237 198.694 268.231 62 116 "{1,235}" 1 -2 2 -
237 156.419 251.971 60 300 "{1,235}" 1 -2 2 -
238 210.401 254.573 53 214 "{1,235,236}" 1 -2 1 -
238 201.296 236.362 45 300 "{1,235,236}" 1 -2 1 -
239 192.841 251.971 53 214 "{1,235,236}" 1 -2 1 -
239 155.118 245.467 48 300 "{1,235,236}" 1 -2 1 -
240 276.091 228.557 56 106 "{1,234}" 1 -2 1 -
240 272.839 231.159 52 164 "{1,234}" 1 -2 1 1
241 273.489 230.508 62 106 "{1,234}" 1 -2 2 -
241 268.937 228.557 67 188 "{1,234}" 1 -2 2 0
242 277.392 223.354 67 189 "{1,234,241}" 1 -2 2 -
242 279.993 220.752 60 259 "{1,234,241}" 1 -2 2 1
243 260.481 233.11 67 189 "{1,234,241}" 1 -2 2 -
243 247.474 237.663 61 256 "{1,234,241}" 1 -2 2 1
244 248.774 237.012 57 257 "{1,234,241,243}" 1 -2 5 -
244 246.173 229.858 55 300 "{1,234,241,243}" 1 -2 5 -
245 247.474 236.362 65 257 "{1,234,241,243}" 1 -2 6 -
245 240.319 221.403 65 300 "{1,234,241,243}" 1 -2 6 -
246 280.644 218.151 62 260 "{1,234,241,242}" 1 -2 6 -
246 269.587 220.102 63 300 "{1,234,241,242}" 1 -2 6 -
247 282.595 221.403 58 260 "{1,234,241,242}" 1 -2 5 -
247 272.839 215.549 57 300 "{1,234,241,242}" 1 -2 5 -
248 261.782 226.606 40 165 "{1,234,240}" 1 -2 3 -
248 261.782 225.305 38 229 "{1,234,240}" 1 -2 3 2
249 272.839 232.459 54 165 "{1,234,240}" 1 -2 4 -
249 266.985 232.459 48 251 "{1,234,240}" 1 -2 4 2
250 257.88 220.102 45 252 "{1,234,240,249}" 1 -2 4 -
250 242.921 221.403 48 300 "{1,234,240,249}" 1 -2 4 -
251 267.636 236.362 40 252 "{1,234,240,249}" 1 -2 4 -
251 262.433 237.663 39 300 "{1,234,240,249}" 1 -2 4 -
252 268.937 231.809 38 230 "{1,234,240,248}" 1 -2 3 -
252 259.831 234.411 30 300 "{1,234,240,248}" 1 -2 3 -
254 255.278 220.102 41 230 "{1,234,240,248}" 1 -2 3 -
254 242.271 218.801 38 300 "{1,234,240,248}" 1 -2 3 -
2 417.226 139.454 60 1 {} 2 -2 0 -
2 380.153 162.868 60 47 {} 2 -2 0 0
255 387.308 157.014 60 48 {2} 2 -2 0 -
255 399.015 147.258 65 104 {2} 2 -2 0 1
256 374.3 167.42 60 48 {2} 2 -2 0 -
256 333.325 194.086 61 107 {2} 2 -2 0 1
257 333.325 193.436 56 108 "{2,256}" 2 -2 1 -
257 322.919 197.989 50 161 "{2,256}" 2 -2 1 1
258 334.626 195.387 66 108 "{2,256}" 2 -2 2 -
258 324.22 193.436 68 182 "{2,256}" 2 -2 2 0
259 332.675 186.932 68 183 "{2,256,258}" 2 -2 2 -
259 330.724 185.631 64 268 "{2,256,258}" 2 -2 2 2
260 317.716 196.038 68 183 "{2,256,258}" 2 -2 2 -
260 298.854 194.737 60 285 "{2,256,258}" 2 -2 2 1
261 296.903 190.834 56 286 "{2,256,258,260}" 2 -2 5 -
261 285.847 196.688 53 300 "{2,256,258,260}" 2 -2 5 -
262 306.009 196.038 66 286 "{2,256,258,260}" 2 -2 6 -
262 298.204 194.086 65 300 "{2,256,258,260}" 2 -2 6 -
263 326.821 197.989 61 269 "{2,256,258,259}" 2 -2 2 -
263 321.618 198.639 56 300 "{2,256,258,259}" 2 -2 2 -
