DataRotation: 90 2 20
RootCenter: 301.2 129.5 -101.3
DataDimension: 684 378 110
Id X Y Z T Precursors Lineage CellFile Layer DivType
52 430.506 147.384 29 1 {} 52 -1 1 -
52 407.127 152.06 25 34 {} 52 -1 1 0
53 419.15 152.06 25 35 {52} 52 -1 1 -
53 466.576 169.427 38 247 {52} 52 -1 1 0
54 400.447 158.071 25 35 {52} 52 -1 1 -
54 380.408 176.774 28 91 {52} 52 -1 1 1
421 481.939 168.759 36 248 "{52,53}" 52 -1 1 -
421 486.615 128.013 44 344 "{52,53}" 52 -1 1 0
422 453.217 177.442 30 248 "{52,53}" 52 -1 1 -
422 450.545 173.435 34 327 "{52,53}" 52 -1 1 0
423 450.545 170.095 33 328 "{52,53,422}" 52 -1 1 -
423 439.189 149.388 40 460 "{52,53,422}" 52 -1 1 0
424 446.537 188.798 34 328 "{52,53,422}" 52 -1 1 -
424 419.818 176.106 36 460 "{52,53,422}" 52 -1 1 0
425 480.604 117.993 43 345 "{52,53,421}" 52 -1 1 -
425 473.256 98.6221 49 460 "{52,53,421}" 52 -1 1 0
426 477.932 133.356 48 345 "{52,53,421}" 52 -1 1 -
426 464.572 132.688 45 460 "{52,53,421}" 52 -1 1 0
55 379.072 183.454 27 92 "{52,54}" 52 -1 2 -
55 371.725 195.478 34 158 "{52,54}" 52 -1 2 0
56 383.08 162.079 30 92 "{52,54}" 52 -1 3 -
56 387.088 160.743 41 389 "{52,54}" 52 -1 3 1
57 383.748 156.067 39 390 "{52,54,56}" 52 -1 7 -
57 383.748 140.704 47 460 "{52,54,56}" 52 -1 7 1
58 392.432 168.759 39 390 "{52,54,56}" 52 -1 6 -
58 387.088 162.747 40 460 "{52,54,56}" 52 -1 6 1
59 381.744 190.802 31 159 "{52,54,55}" 52 -1 2 -
59 416.479 162.079 36 460 "{52,54,55}" 52 -1 2 0
60 362.373 195.478 36 159 "{52,54,55}" 52 -1 2 -
60 361.037 215.517 34 308 "{52,54,55}" 52 -1 2 2
61 362.373 209.505 30 309 "{52,54,55,60}" 52 -1 2 -
61 357.029 205.497 28 408 "{52,54,55,60}" 52 -1 2 0
62 359.033 223.532 38 309 "{52,54,55,60}" 52 -1 2 -
62 369.721 231.548 39 458 "{52,54,55,60}" 52 -1 2 0
63 373.061 232.216 37 459 "{52,54,55,60,62}" 52 -1 2 -
63 376.4 228.876 37 460 "{52,54,55,60,62}" 52 -1 2 0
64 357.697 226.872 41 459 "{52,54,55,60,62}" 52 -1 2 -
64 359.033 219.524 39 460 "{52,54,55,60,62}" 52 -1 2 0
66 351.018 198.817 28 409 "{52,54,55,60,61}" 52 -1 2 -
66 345.674 198.817 31 460 "{52,54,55,60,61}" 52 -1 2 0
67 362.373 214.181 28 409 "{52,54,55,60,61}" 52 -1 2 -
67 363.709 216.185 27 460 "{52,54,55,60,61}" 52 -1 2 0
74 336.322 181.45 32 1 {} 74 -1 1 -
74 281.549 206.833 32 34 {} 74 -1 1 0
75 274.201 208.837 32 35 {74} 74 -1 1 -
75 236.795 229.544 37 84 {74} 74 -1 1 1
76 291.568 202.157 32 35 {74} 74 -1 1 -
76 324.299 192.806 35 91 {74} 74 -1 1 1
77 331.646 201.489 33 92 "{74,76}" 74 -1 2 -
77 332.314 212.845 38 158 "{74,76}" 74 -1 2 0
78 320.291 182.786 36 92 "{74,76}" 74 -1 3 -
78 327.639 190.134 35 153 "{74,76}" 74 -1 3 1
79 338.994 192.138 35 154 "{74,76,78}" 74 -1 6 -
79 333.65 213.513 40 266 "{74,76,78}" 74 -1 6 0
80 316.951 187.462 35 154 "{74,76,78}" 74 -1 7 -
80 325.635 188.798 40 219 "{74,76,78}" 74 -1 7 0
81 339.662 208.837 40 267 "{74,76,78,79}" 74 -1 6 -
81 357.697 199.485 45 367 "{74,76,78,79}" 74 -1 6 0
82 325.635 218.856 40 267 "{74,76,78,79}" 74 -1 6 -
82 322.295 223.532 44 355 "{74,76,78,79}" 74 -1 6 0
83 314.947 219.524 40 356 "{74,76,78,79,82}" 74 -1 6 -
83 313.611 213.513 39 460 "{74,76,78,79,82}" 74 -1 6 0
84 326.971 226.204 47 356 "{74,76,78,79,82}" 74 -1 6 -
84 329.643 232.216 45 455 "{74,76,78,79,82}" 74 -1 6 0
85 320.959 222.864 43 456 "{74,76,78,79,82,84}" 74 -1 6 -
85 314.947 218.188 44 460 "{74,76,78,79,82,84}" 74 -1 6 0
86 327.639 243.571 47 456 "{74,76,78,79,82,84}" 74 -1 6 -
86 328.975 251.587 48 460 "{74,76,78,79,82,84}" 74 -1 6 0
87 362.373 192.138 42 368 "{74,76,78,79,81}" 74 -1 6 -
87 350.35 185.458 42 460 "{74,76,78,79,81}" 74 -1 6 0
88 354.357 206.165 49 368 "{74,76,78,79,81}" 74 -1 6 -
88 350.35 210.173 48 460 "{74,76,78,79,81}" 74 -1 6 0
89 312.943 188.798 40 220 "{74,76,78,80}" 74 -1 7 -
89 312.275 195.478 40 301 "{74,76,78,80}" 74 -1 7 0
90 336.322 193.474 42 220 "{74,76,78,80}" 74 -1 7 -
90 373.729 180.114 44 291 "{74,76,78,80}" 74 -1 7 1
91 361.037 174.103 43 292 "{74,76,78,80,90}" 74 -1 15 -
91 330.311 197.982 48 443 "{74,76,78,80,90}" 74 -1 15 0
92 385.084 188.798 41 292 "{74,76,78,80,90}" 74 -1 14 -
92 397.107 200.153 38 374 "{74,76,78,80,90}" 74 -1 14 0
